Nome;Email;Nasc
Henrique Duarte Borges Louro;henrique.louro@fatec.sp.gov.br;01/11/1965
Maria Fernanda;mf@gmail.com;03/08/1992
Carlos Alberto;carlos.alb@hotmail.com;27/11/1980
Ana Paula;ana.paula@yahoo.com;15/02/1995
Ricardo Mendes;ricardo.mendes@gmail.com;09/09/1978
Juliana Castro;juliana.castro@outlook.com;22/04/1987
Felipe Duarte;felipe.duarte@gmail.com;30/01/1990
Camila Azevedo;camila.azv@hotmail.com;18/07/1993
Thiago Ribeiro;thiago.rib@gmail.com;11/12/1982
Patrícia Gomes;patricia.gomes@yahoo.com;05/03/1989
Marcos Vinícius;marcos.vinicius@gmail.com;26/10/1991

